status,duration,credit_history,purpose,amount,savings,employment_duration,installment_rate,personal_status_sex,other_debtors,present_residence,property,age,other_installment_plans,housing,number_credits,job,people_liable,telephone,foreign_worker,credit_risk,adverse_target,profile_group_id
... < 100 DM,36,existing credits paid back duly till now,domestic appliances,2302,... < 100 DM,1 <= ... < 4 years,4,male : divorced/separated,none,4,car or other,31,none,rent,1,skilled employee/official,1,no,yes,0,1,4772635806501175008
... < 100 DM,6,existing credits paid back duly till now,car (new),662,... < 100 DM,... < 1 year,3,male : single,none,4,real estate,41,none,own,1,unskilled - resident,2,yes,yes,1,0,17215253980925041386
0 <= ... < 200 DM,36,existing credits paid back duly till now,retraining,2273,... < 100 DM,4 <= ... < 7 years,3,male : single,none,1,car or other,32,none,own,2,skilled employee/official,2,no,yes,1,0,4725009386505657353
0 <= ... < 200 DM,15,existing credits paid back duly till now,car (new),2631,100 <= ... < 500 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,4,car or other,28,none,rent,2,skilled employee/official,1,yes,yes,0,1,2036249014114349202
no checking account,12,delay in paying off in the past,car (used),1503,... < 100 DM,1 <= ... < 4 years,4,male : married/widowed,none,4,real estate,41,none,rent,1,skilled employee/official,1,no,yes,1,0,4699382100779287136
no checking account,24,existing credits paid back duly till now,domestic appliances,1311,100 <= ... < 500 DM,4 <= ... < 7 years,4,male : married/widowed,none,3,building society savings agreement/life insurance,26,none,own,1,skilled employee/official,1,yes,yes,1,0,4845749302570821076
no checking account,24,existing credits paid back duly till now,domestic appliances,3105,unknown/no savings account,... < 1 year,4,male : single,none,2,car or other,25,none,own,2,skilled employee/official,1,no,yes,1,0,1858481859808509688
... >= 200 DM / salary for at least 1 year,21,critical account/other credits existing,retraining,2319,... < 100 DM,... < 1 year,2,male : divorced/separated,none,1,car or other,33,none,rent,1,skilled employee/official,1,no,yes,0,1,15874510891985633325
... < 100 DM,6,existing credits paid back duly till now,car (new),1374,unknown/no savings account,unemployed,4,female : divorced/separated/married,none,3,building society savings agreement/life insurance,75,none,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1,0,13746204108842274993
0 <= ... < 200 DM,18,critical account/other credits existing,radio/television,3612,... < 100 DM,... >= 7 years,3,female : divorced/separated/married,none,4,building society savings agreement/life insurance,37,none,own,1,skilled employee/official,1,yes,yes,1,0,7936577881840087948
... < 100 DM,48,existing credits paid back duly till now,car (new),7763,... < 100 DM,... >= 7 years,4,male : single,none,4,unknown/no property,42,bank,for free,1,management/self-employed/highly qualified employee/officer,1,no,yes,0,1,6108482053628864610
... >= 200 DM / salary for at least 1 year,18,existing credits paid back duly till now,radio/television,3049,... < 100 DM,... < 1 year,1,female : divorced/separated/married,none,1,building society savings agreement/life insurance,45,stores,own,1,unskilled - resident,1,no,yes,1,0,12658540861124770842
0 <= ... < 200 DM,12,existing credits paid back duly till now,domestic appliances,1534,... < 100 DM,... < 1 year,1,male : married/widowed,none,1,real estate,23,none,rent,1,skilled employee/official,1,no,yes,0,1,7748976645926310238
no checking account,24,delay in paying off in the past,car (new),2032,... < 100 DM,... >= 7 years,4,male : single,none,4,unknown/no property,60,none,for free,2,skilled employee/official,1,yes,yes,1,0,17662702949599976660
... < 100 DM,30,existing credits paid back duly till now,radio/television,6350,unknown/no savings account,... >= 7 years,4,male : single,none,4,building society savings agreement/life insurance,31,none,own,1,skilled employee/official,1,no,yes,0,1,4477613335624243333
... >= 200 DM / salary for at least 1 year,18,existing credits paid back duly till now,radio/television,2864,... < 100 DM,1 <= ... < 4 years,2,male : single,none,1,real estate,34,none,own,1,unskilled - resident,2,no,yes,0,1,11489642492900252101
no checking account,12,critical account/other credits existing,car (new),1255,... < 100 DM,... >= 7 years,4,male : single,none,4,real estate,61,none,own,2,unskilled - resident,1,no,yes,1,0,2825590433234906580
... < 100 DM,24,delay in paying off in the past,car (new),1333,... < 100 DM,unemployed,4,male : single,none,2,real estate,43,none,for free,2,skilled employee/official,2,no,yes,0,1,8649688709580496673
no checking account,24,critical account/other credits existing,car (new),2022,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,4,car or other,37,none,own,1,skilled employee/official,1,yes,yes,1,0,10134671426298598555
no checking account,24,existing credits paid back duly till now,domestic appliances,1552,... < 100 DM,4 <= ... < 7 years,3,male : single,none,1,car or other,32,bank,own,1,skilled employee/official,2,no,yes,1,0,17071873488302947885
... < 100 DM,12,all credits at this bank paid back duly,domestic appliances,626,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,4,real estate,24,bank,own,1,unskilled - resident,1,no,yes,0,1,11944165063485466756
no checking account,48,critical account/other credits existing,car (used),8858,unknown/no savings account,4 <= ... < 7 years,2,male : single,none,1,unknown/no property,35,none,for free,2,skilled employee/official,1,yes,yes,1,0,15020122228172488667
no checking account,12,critical account/other credits existing,education,996,unknown/no savings account,4 <= ... < 7 years,4,female : divorced/separated/married,none,4,real estate,23,none,own,2,skilled employee/official,1,no,yes,1,0,5698197489141415177
no checking account,6,all credits at this bank paid back duly,domestic appliances,1750,500 <= ... < 1000 DM,... >= 7 years,2,male : single,none,4,building society savings agreement/life insurance,45,bank,own,1,unskilled - resident,2,no,yes,1,0,5794953077268992405
... < 100 DM,48,existing credits paid back duly till now,domestic appliances,6999,... < 100 DM,4 <= ... < 7 years,1,male : married/widowed,guarantor,1,real estate,34,none,own,2,skilled employee/official,1,yes,yes,0,1,16927384300314264877
0 <= ... < 200 DM,12,critical account/other credits existing,car (new),1995,100 <= ... < 500 DM,... < 1 year,4,male : single,none,1,car or other,27,none,own,1,skilled employee/official,1,no,yes,1,0,11172001587692594557
0 <= ... < 200 DM,9,existing credits paid back duly till now,retraining,1199,... < 100 DM,4 <= ... < 7 years,4,female : divorced/separated/married,none,4,building society savings agreement/life insurance,67,none,own,2,management/self-employed/highly qualified employee/officer,1,yes,yes,1,0,16278214772393962086
0 <= ... < 200 DM,12,existing credits paid back duly till now,domestic appliances,1331,... < 100 DM,... < 1 year,2,male : single,none,1,car or other,22,stores,own,1,skilled employee/official,1,no,yes,0,1,2650224347186449858
0 <= ... < 200 DM,18,no credits taken/all credits paid back duly,car (new),2278,100 <= ... < 500 DM,... < 1 year,3,female : divorced/separated/married,none,3,car or other,28,none,own,2,skilled employee/official,1,no,yes,0,1,412478590869209786
no checking account,21,no credits taken/all credits paid back duly,car (new),5003,unknown/no savings account,1 <= ... < 4 years,1,female : divorced/separated/married,none,4,building society savings agreement/life insurance,29,bank,own,2,skilled employee/official,1,yes,yes,0,1,17021325513934390434
... < 100 DM,24,all credits at this bank paid back duly,radio/television,3552,... < 100 DM,4 <= ... < 7 years,3,male : single,none,4,car or other,27,bank,own,1,skilled employee/official,1,no,yes,0,1,12063537139712357107
0 <= ... < 200 DM,18,critical account/other credits existing,radio/television,1928,... < 100 DM,... < 1 year,2,male : single,none,2,real estate,31,none,own,2,unskilled - resident,1,no,yes,0,1,8505415987867625901
... < 100 DM,24,existing credits paid back duly till now,car (used),2964,unknown/no savings account,... >= 7 years,4,male : single,none,4,unknown/no property,49,bank,for free,1,skilled employee/official,2,yes,yes,1,0,1204757243141088510
... < 100 DM,24,all credits at this bank paid back duly,domestic appliances,1546,... < 100 DM,4 <= ... < 7 years,4,male : single,guarantor,4,car or other,24,bank,rent,1,unskilled - resident,1,no,yes,0,1,2215858877800100020
... >= 200 DM / salary for at least 1 year,6,delay in paying off in the past,domestic appliances,683,... < 100 DM,... < 1 year,2,female : divorced/separated/married,none,1,building society savings agreement/life insurance,29,bank,own,1,skilled employee/official,1,no,yes,1,0,9670588753371900526
0 <= ... < 200 DM,36,existing credits paid back duly till now,car (new),12389,unknown/no savings account,1 <= ... < 4 years,1,male : single,none,4,unknown/no property,37,none,for free,1,skilled employee/official,1,yes,yes,0,1,7720944397730516888
0 <= ... < 200 DM,24,delay in paying off in the past,others,4712,unknown/no savings account,1 <= ... < 4 years,4,male : single,none,2,building society savings agreement/life insurance,37,bank,own,2,management/self-employed/highly qualified employee/officer,1,yes,yes,1,0,9200144493236497298
0 <= ... < 200 DM,24,delay in paying off in the past,domestic appliances,1553,100 <= ... < 500 DM,4 <= ... < 7 years,3,female : divorced/separated/married,none,2,building society savings agreement/life insurance,23,none,rent,2,skilled employee/official,1,yes,yes,1,0,14860075218112795869
... < 100 DM,12,existing credits paid back duly till now,car (new),1372,... < 100 DM,4 <= ... < 7 years,2,male : divorced/separated,none,3,car or other,36,none,own,1,skilled employee/official,1,no,yes,0,1,8179486803018119595
no checking account,24,critical account/other credits existing,domestic appliances,2578,... >= 1000 DM,... >= 7 years,2,male : single,none,2,car or other,34,none,own,1,skilled employee/official,1,no,yes,1,0,2958515498533886931
0 <= ... < 200 DM,48,existing credits paid back duly till now,domestic appliances,3979,unknown/no savings account,4 <= ... < 7 years,4,male : single,none,1,car or other,41,none,own,2,skilled employee/official,2,yes,yes,1,0,14572459693051976808
... < 100 DM,48,existing credits paid back duly till now,domestic appliances,6758,... < 100 DM,1 <= ... < 4 years,3,female : divorced/separated/married,none,2,car or other,31,none,own,1,skilled employee/official,1,yes,yes,0,1,17172729939702971258
... < 100 DM,24,existing credits paid back duly till now,radio/television,3234,... < 100 DM,... < 1 year,4,female : divorced/separated/married,none,4,real estate,23,none,rent,1,unskilled - resident,1,yes,yes,0,1,16571341147616065010
no checking account,30,critical account/other credits existing,domestic appliances,5954,... < 100 DM,4 <= ... < 7 years,3,male : single,co-applicant,2,car or other,38,none,own,1,skilled employee/official,1,no,yes,1,0,5305645497121087256
no checking account,24,existing credits paid back duly till now,car (used),5433,unknown/no savings account,unemployed,2,female : divorced/separated/married,none,4,building society savings agreement/life insurance,26,none,rent,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1,0,12152009554934626872
... < 100 DM,15,existing credits paid back duly till now,others,806,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,4,building society savings agreement/life insurance,22,none,own,1,unskilled - resident,1,no,yes,1,0,14690406196713104796
0 <= ... < 200 DM,9,existing credits paid back duly till now,domestic appliances,1082,... < 100 DM,... >= 7 years,4,male : single,none,4,car or other,27,none,own,2,unskilled - resident,1,no,yes,1,0,9191548643822829581
no checking account,15,critical account/other credits existing,radio/television,2788,... < 100 DM,4 <= ... < 7 years,2,female : divorced/separated/married,co-applicant,3,car or other,24,bank,own,2,skilled employee/official,1,no,yes,1,0,12086517001656934938
0 <= ... < 200 DM,12,existing credits paid back duly till now,domestic appliances,2930,... < 100 DM,4 <= ... < 7 years,2,female : divorced/separated/married,none,1,real estate,27,none,own,1,skilled employee/official,1,no,yes,1,0,2365317411884458986
no checking account,24,critical account/other credits existing,retraining,1927,unknown/no savings account,1 <= ... < 4 years,3,female : divorced/separated/married,none,2,car or other,33,none,own,2,skilled employee/official,1,yes,yes,1,0,2088964254165741802
0 <= ... < 200 DM,36,critical account/other credits existing,car (new),2820,... < 100 DM,... < 1 year,4,male : divorced/separated,none,4,car or other,27,none,own,2,skilled employee/official,1,no,yes,0,1,15915403479065987684
no checking account,24,existing credits paid back duly till now,business,937,... < 100 DM,... < 1 year,4,male : married/widowed,none,3,car or other,27,none,own,2,unskilled - resident,1,no,yes,1,0,17243479523016175144
0 <= ... < 200 DM,18,critical account/other credits existing,car (new),1056,... < 100 DM,... >= 7 years,3,male : single,guarantor,3,real estate,30,bank,own,2,skilled employee/official,1,no,yes,0,1,13195738382031378299
0 <= ... < 200 DM,12,critical account/other credits existing,car (new),3124,... < 100 DM,... < 1 year,1,male : single,none,3,real estate,49,bank,own,2,unskilled - resident,2,no,yes,1,0,5455142235885968690
no checking account,9,existing credits paid back duly till now,radio/television,1388,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,real estate,26,none,rent,1,skilled employee/official,1,no,yes,1,0,11393945835647392319
0 <= ... < 200 DM,36,existing credits paid back duly till now,education,2384,... < 100 DM,... < 1 year,4,male : single,none,1,unknown/no property,33,none,rent,1,unskilled - resident,1,no,yes,0,1,14747724765658015441
no checking account,12,existing credits paid back duly till now,car (new),2133,unknown/no savings account,... >= 7 years,4,female : divorced/separated/married,none,4,unknown/no property,52,none,for free,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1,0,5236748353027296543
... < 100 DM,18,existing credits paid back duly till now,radio/television,2039,... < 100 DM,1 <= ... < 4 years,1,female : divorced/separated/married,none,4,real estate,20,bank,rent,1,skilled employee/official,1,no,yes,0,1,20132032634228559
... < 100 DM,9,critical account/other credits existing,car (new),2799,... < 100 DM,1 <= ... < 4 years,2,male : single,none,2,real estate,36,none,rent,2,skilled employee/official,2,no,yes,1,0,16853233598352842317
... < 100 DM,12,existing credits paid back duly till now,radio/television,1289,... < 100 DM,1 <= ... < 4 years,4,male : single,guarantor,1,building society savings agreement/life insurance,21,none,own,1,unskilled - resident,1,no,yes,1,0,16926764839876858202
... < 100 DM,18,existing credits paid back duly till now,repairs,1217,... < 100 DM,1 <= ... < 4 years,4,male : married/widowed,none,3,real estate,47,none,own,1,unskilled - resident,1,yes,yes,0,1,7339848850671654529
... < 100 DM,12,critical account/other credits existing,radio/television,2246,... < 100 DM,... >= 7 years,3,male : single,none,3,building society savings agreement/life insurance,60,none,own,2,skilled employee/official,1,no,yes,0,1,8465010764249427125
... < 100 DM,12,critical account/other credits existing,domestic appliances,385,... < 100 DM,4 <= ... < 7 years,4,female : divorced/separated/married,none,3,real estate,58,none,own,4,unskilled - resident,1,yes,yes,1,0,3218264998419623841
0 <= ... < 200 DM,24,delay in paying off in the past,car (new),1965,unknown/no savings account,1 <= ... < 4 years,4,female : divorced/separated/married,none,4,car or other,42,none,rent,2,skilled employee/official,1,yes,yes,1,0,17911168156281930110
no checking account,21,existing credits paid back duly till now,others,1572,... >= 1000 DM,... >= 7 years,4,female : divorced/separated/married,none,4,real estate,36,bank,own,1,unskilled - resident,1,no,yes,1,0,2502841208367601972
0 <= ... < 200 DM,24,existing credits paid back duly till now,car (new),2718,... < 100 DM,1 <= ... < 4 years,3,female : divorced/separated/married,none,4,building society savings agreement/life insurance,20,none,rent,1,unskilled - resident,1,yes,yes,0,1,9882626861939133339
... < 100 DM,24,all credits at this bank paid back duly,furniture/equipment,1358,unknown/no savings account,... >= 7 years,4,male : single,none,3,car or other,40,stores,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,0,1,7143776810840742096
0 <= ... < 200 DM,6,all credits at this bank paid back duly,car (new),931,100 <= ... < 500 DM,... < 1 year,1,female : divorced/separated/married,none,1,building society savings agreement/life insurance,32,stores,own,1,unskilled - resident,1,no,yes,0,1,1868323237408228440
... < 100 DM,24,existing credits paid back duly till now,car (new),1442,... < 100 DM,4 <= ... < 7 years,4,female : divorced/separated/married,none,4,car or other,23,none,rent,2,skilled employee/official,1,no,yes,0,1,2254490697087932097
0 <= ... < 200 DM,24,no credits taken/all credits paid back duly,others,4241,... < 100 DM,1 <= ... < 4 years,1,male : single,none,4,real estate,36,none,own,3,unskilled - resident,1,yes,yes,0,1,4523598429426976345
no checking account,18,critical account/other credits existing,car (new),2775,... < 100 DM,4 <= ... < 7 years,2,male : single,none,2,building society savings agreement/life insurance,31,bank,own,2,skilled employee/official,1,no,yes,0,1,5457921828475974182
no checking account,24,delay in paying off in the past,others,3863,... < 100 DM,1 <= ... < 4 years,1,male : single,none,2,unknown/no property,32,none,for free,1,skilled employee/official,1,no,yes,1,0,2601626530642247232
0 <= ... < 200 DM,7,existing credits paid back duly till now,domestic appliances,2329,... < 100 DM,... < 1 year,1,female : divorced/separated/married,guarantor,1,real estate,45,none,own,1,skilled employee/official,1,no,yes,1,0,11236109065541320073
0 <= ... < 200 DM,9,existing credits paid back duly till now,radio/television,918,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,1,building society savings agreement/life insurance,30,none,own,1,skilled employee/official,1,no,yes,0,1,6255706774637227154
0 <= ... < 200 DM,24,all credits at this bank paid back duly,retraining,1837,... < 100 DM,4 <= ... < 7 years,4,female : divorced/separated/married,none,4,unknown/no property,34,bank,for free,1,unskilled - resident,1,no,yes,0,1,184544991444387608
no checking account,36,existing credits paid back duly till now,radio/television,3349,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,car or other,28,none,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,0,1,11070231149034288988
... >= 200 DM / salary for at least 1 year,10,existing credits paid back duly till now,radio/television,1275,... < 100 DM,... < 1 year,4,female : divorced/separated/married,none,2,building society savings agreement/life insurance,23,none,own,1,skilled employee/official,1,no,yes,1,0,17803222561803387880
... < 100 DM,24,all credits at this bank paid back duly,radio/television,2828,500 <= ... < 1000 DM,1 <= ... < 4 years,4,male : single,none,4,real estate,22,stores,own,1,skilled employee/official,1,yes,yes,1,0,9425922172927085097
no checking account,24,critical account/other credits existing,others,4526,... < 100 DM,1 <= ... < 4 years,3,male : single,none,2,real estate,74,none,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1,0,5428616616678378912
0 <= ... < 200 DM,36,existing credits paid back duly till now,domestic appliances,2671,100 <= ... < 500 DM,1 <= ... < 4 years,4,female : divorced/separated/married,co-applicant,4,unknown/no property,50,none,for free,1,skilled employee/official,1,no,yes,0,1,16263684087052876616
no checking account,18,existing credits paid back duly till now,domestic appliances,2051,... < 100 DM,... < 1 year,4,male : single,none,1,real estate,33,none,own,1,skilled employee/official,1,no,yes,1,0,10244204092139538958
no checking account,15,existing credits paid back duly till now,car (used),1300,unknown/no savings account,... >= 7 years,4,male : single,none,4,unknown/no property,45,bank,for free,1,skilled employee/official,2,no,yes,1,0,10961412275562925601
... < 100 DM,12,existing credits paid back duly till now,repairs,741,100 <= ... < 500 DM,unemployed,4,female : divorced/separated/married,none,3,building society savings agreement/life insurance,22,none,own,1,skilled employee/official,1,no,yes,0,1,4347875102767788511
... >= 200 DM / salary for at least 1 year,10,existing credits paid back duly till now,car (new),1240,100 <= ... < 500 DM,... >= 7 years,1,female : divorced/separated/married,none,4,unknown/no property,48,none,for free,1,unskilled - resident,2,no,yes,0,1,12031837279002224489
... < 100 DM,21,existing credits paid back duly till now,domestic appliances,3357,... >= 1000 DM,... < 1 year,4,female : divorced/separated/married,none,2,car or other,29,bank,own,1,skilled employee/official,1,no,yes,1,0,1889079213952745131
... < 100 DM,24,all credits at this bank paid back duly,car (used),3632,... < 100 DM,1 <= ... < 4 years,1,female : divorced/separated/married,guarantor,4,car or other,22,bank,rent,1,skilled employee/official,1,no,no,1,0,14612247681099801043
no checking account,18,delay in paying off in the past,radio/television,1808,... < 100 DM,4 <= ... < 7 years,4,female : divorced/separated/married,none,1,real estate,22,none,own,1,skilled employee/official,1,no,yes,0,1,3465641665054383300
0 <= ... < 200 DM,48,no credits taken/all credits paid back duly,others,12204,unknown/no savings account,1 <= ... < 4 years,2,male : single,none,2,car or other,48,bank,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1,0,9638035547251428600
0 <= ... < 200 DM,60,delay in paying off in the past,domestic appliances,9157,unknown/no savings account,1 <= ... < 4 years,2,male : single,none,2,unknown/no property,27,none,for free,1,management/self-employed/highly qualified employee/officer,1,no,yes,1,0,13759509757798285409
... < 100 DM,6,critical account/other credits existing,car (new),3676,... < 100 DM,1 <= ... < 4 years,1,male : single,none,3,real estate,37,none,rent,3,skilled employee/official,2,no,yes,1,0,601916274367911324
0 <= ... < 200 DM,30,existing credits paid back duly till now,radio/television,3441,100 <= ... < 500 DM,1 <= ... < 4 years,2,female : divorced/separated/married,co-applicant,4,car or other,21,none,rent,1,skilled employee/official,1,no,yes,0,1,2761134989887247798
no checking account,12,existing credits paid back duly till now,car (new),640,... < 100 DM,1 <= ... < 4 years,4,male : divorced/separated,none,2,real estate,49,none,own,1,unskilled - resident,1,no,yes,1,0,3339985898635316822
0 <= ... < 200 DM,21,critical account/other credits existing,others,3652,... < 100 DM,4 <= ... < 7 years,2,male : single,none,3,building society savings agreement/life insurance,27,none,own,2,skilled employee/official,1,no,yes,1,0,6735269675859338970
no checking account,18,critical account/other credits existing,car (new),1530,... < 100 DM,1 <= ... < 4 years,3,male : single,none,2,building society savings agreement/life insurance,32,bank,own,2,skilled employee/official,1,no,yes,0,1,2684957663033902054
no checking account,48,existing credits paid back duly till now,others,3914,unknown/no savings account,1 <= ... < 4 years,4,male : divorced/separated,none,2,real estate,38,bank,own,1,skilled employee/official,1,no,yes,0,1,4743006764131277684
... < 100 DM,12,existing credits paid back duly till now,radio/television,1858,... < 100 DM,... < 1 year,4,female : divorced/separated/married,none,1,car or other,22,none,rent,1,skilled employee/official,1,no,yes,1,0,3979869468729302587
... < 100 DM,18,existing credits paid back duly till now,domestic appliances,2600,... < 100 DM,1 <= ... < 4 years,4,male : single,none,4,unknown/no property,65,none,for free,2,skilled employee/official,1,no,yes,0,1,13471348311707003286
no checking account,15,existing credits paid back duly till now,domestic appliances,1979,unknown/no savings account,... >= 7 years,4,male : single,none,2,car or other,35,none,own,1,skilled employee/official,1,no,yes,1,0,7829777599481378893
... >= 200 DM / salary for at least 1 year,6,existing credits paid back duly till now,radio/television,2116,... < 100 DM,1 <= ... < 4 years,2,male : single,none,2,real estate,41,none,own,1,skilled employee/official,1,yes,yes,1,0,4487565858353126651
0 <= ... < 200 DM,9,all credits at this bank paid back duly,car (new),1437,100 <= ... < 500 DM,4 <= ... < 7 years,2,male : single,none,3,unknown/no property,29,none,own,1,skilled employee/official,1,no,yes,0,1,6724268986763632282
no checking account,42,critical account/other credits existing,radio/television,4042,500 <= ... < 1000 DM,1 <= ... < 4 years,4,male : single,none,4,real estate,36,none,own,2,skilled employee/official,1,yes,yes,1,0,4761714528643414766
no checking account,9,existing credits paid back duly till now,retraining,3832,unknown/no savings account,... >= 7 years,1,male : single,none,4,real estate,64,none,own,1,unskilled - resident,1,no,yes,1,0,14933008447330708618
... < 100 DM,24,existing credits paid back duly till now,domestic appliances,3660,... < 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,4,car or other,28,none,own,1,skilled employee/official,1,no,yes,1,0,1633492347887716325
... < 100 DM,18,all credits at this bank paid back duly,radio/television,1553,... < 100 DM,1 <= ... < 4 years,4,male : single,none,3,car or other,44,bank,own,1,skilled employee/official,1,no,yes,0,1,6895381808242669241
0 <= ... < 200 DM,15,existing credits paid back duly till now,domestic appliances,1444,unknown/no savings account,... < 1 year,4,male : single,none,1,building society savings agreement/life insurance,23,none,own,1,skilled employee/official,1,no,yes,1,0,13747214965305200083
no checking account,9,existing credits paid back duly till now,radio/television,1980,... < 100 DM,... < 1 year,2,female : divorced/separated/married,co-applicant,2,car or other,19,none,rent,2,skilled employee/official,1,no,yes,0,1,16083803373418547645
0 <= ... < 200 DM,24,existing credits paid back duly till now,car (new),1355,... < 100 DM,... < 1 year,3,female : divorced/separated/married,none,4,car or other,25,none,own,1,unskilled - resident,1,yes,yes,0,1,15681821295494620511
no checking account,12,existing credits paid back duly till now,retraining,1393,... < 100 DM,... >= 7 years,4,male : single,none,4,building society savings agreement/life insurance,47,bank,own,3,skilled employee/official,2,yes,yes,1,0,12568799865940398455
no checking account,24,existing credits paid back duly till now,domestic appliances,1376,500 <= ... < 1000 DM,4 <= ... < 7 years,4,female : divorced/separated/married,none,1,car or other,28,none,own,1,skilled employee/official,1,no,yes,1,0,12913225891163326912
no checking account,60,delay in paying off in the past,domestic appliances,15653,... < 100 DM,4 <= ... < 7 years,2,male : single,none,4,car or other,21,none,own,2,skilled employee/official,1,yes,yes,1,0,732876843847211507
no checking account,12,existing credits paid back duly till now,domestic appliances,1493,... < 100 DM,... < 1 year,4,female : divorced/separated/married,none,3,car or other,34,none,own,1,skilled employee/official,2,no,yes,1,0,15671112445643281314
... < 100 DM,42,delay in paying off in the past,domestic appliances,4370,... < 100 DM,4 <= ... < 7 years,3,male : single,none,2,building society savings agreement/life insurance,26,bank,own,2,skilled employee/official,2,yes,yes,0,1,702934187578189549
... < 100 DM,18,existing credits paid back duly till now,retraining,750,... < 100 DM,unemployed,4,female : divorced/separated/married,none,1,real estate,27,none,own,1,unemployed/unskilled - non-resident,1,no,yes,0,1,16850477911826695515
0 <= ... < 200 DM,15,existing credits paid back duly till now,education,1308,... < 100 DM,... >= 7 years,4,male : single,none,4,car or other,38,none,own,2,unskilled - resident,1,no,yes,1,0,9860573144766962797
no checking account,15,existing credits paid back duly till now,retraining,4623,100 <= ... < 500 DM,1 <= ... < 4 years,3,male : single,none,2,building society savings agreement/life insurance,40,none,own,1,management/self-employed/highly qualified employee/officer,1,yes,yes,0,1,14865587098599964629
no checking account,24,critical account/other credits existing,domestic appliances,1851,... < 100 DM,4 <= ... < 7 years,4,male : married/widowed,guarantor,2,car or other,33,none,own,2,skilled employee/official,1,yes,yes,1,0,6113030539051825184
... < 100 DM,18,critical account/other credits existing,domestic appliances,1880,... < 100 DM,4 <= ... < 7 years,4,male : married/widowed,none,1,building society savings agreement/life insurance,32,none,own,2,management/self-employed/highly qualified employee/officer,1,yes,yes,1,0,15337683008177621802
no checking account,36,delay in paying off in the past,others,7980,unknown/no savings account,... < 1 year,4,male : single,none,4,car or other,27,none,rent,2,skilled employee/official,1,yes,yes,0,1,14458083981930287976
... < 100 DM,30,no credits taken/all credits paid back duly,radio/television,4583,... < 100 DM,1 <= ... < 4 years,2,male : divorced/separated,guarantor,2,real estate,32,none,own,2,skilled employee/official,1,no,yes,1,0,8917260155617215985
no checking account,12,existing credits paid back duly till now,car (new),1386,500 <= ... < 1000 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,2,building society savings agreement/life insurance,26,none,own,1,skilled employee/official,1,no,yes,0,1,4876322894177724314
... >= 200 DM / salary for at least 1 year,24,existing credits paid back duly till now,car (new),947,... < 100 DM,4 <= ... < 7 years,4,male : single,none,3,unknown/no property,38,bank,for free,1,skilled employee/official,2,no,yes,0,1,4218724870516468518
... < 100 DM,12,existing credits paid back duly till now,retraining,684,... < 100 DM,1 <= ... < 4 years,4,male : single,none,4,car or other,40,none,rent,1,unskilled - resident,2,no,yes,0,1,7031461206796834746
... < 100 DM,48,existing credits paid back duly till now,retraining,7476,... < 100 DM,4 <= ... < 7 years,4,male : single,none,1,unknown/no property,50,none,for free,1,management/self-employed/highly qualified employee/officer,1,yes,yes,1,0,5824431526968675915
0 <= ... < 200 DM,12,existing credits paid back duly till now,radio/television,1922,... < 100 DM,1 <= ... < 4 years,4,male : single,none,2,building society savings agreement/life insurance,37,none,own,1,unskilled - resident,1,no,yes,0,1,1821337453292788969
... < 100 DM,24,existing credits paid back duly till now,car (new),2303,... < 100 DM,... >= 7 years,4,male : single,co-applicant,1,real estate,45,none,own,1,skilled employee/official,1,no,yes,0,1,13890086834072611568
0 <= ... < 200 DM,36,delay in paying off in the past,car (new),8086,100 <= ... < 500 DM,... >= 7 years,2,male : single,none,4,car or other,42,none,own,4,management/self-employed/highly qualified employee/officer,1,yes,yes,0,1,7398952272259523804
no checking account,24,critical account/other credits existing,car (used),2346,... < 100 DM,4 <= ... < 7 years,4,male : single,none,3,car or other,35,none,own,2,skilled employee/official,1,yes,yes,1,0,7408497030438216430
... < 100 DM,14,existing credits paid back duly till now,car (new),3973,... < 100 DM,unemployed,1,male : single,none,4,unknown/no property,22,none,for free,1,skilled employee/official,1,no,yes,1,0,3151662362566253357
0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),888,... < 100 DM,... >= 7 years,4,male : single,none,4,car or other,41,bank,own,1,unskilled - resident,2,no,yes,0,1,3013767285954528702
no checking account,48,existing credits paid back duly till now,domestic appliances,10222,unknown/no savings account,4 <= ... < 7 years,4,male : single,none,3,car or other,37,stores,own,1,skilled employee/official,1,yes,yes,1,0,3825234679901977422
